启运港,目的港,航线ID,共舱船公司,正向路径,反向路径,中间时间
青岛,明日数航船期查询东南亚新马越泰泰国林查班,bf77a1f97ee1babf1a19b3d9044e434c,锦江航运(CTX2) | SITC(VTX5),连云港(LIANYUNGANG)[1天] → 青岛(QINGDAO)[8天] → 林查班(LAEM CHABANG)[1天] → 曼谷PAT港(BANGKOK--PAT)[2天] → 林查班(LAEM CHABANG)[3天] → 胡志明卡莱港(HOCHIMINH--CAT LAI),广州南沙(NANSHA)[3天] → 博多(HAKATA)[2天] → 大阪(OSAKA)[1天] → 神户(KOBE)[3天] → 连云港(LIANYUNGANG),4天
青岛,明日数航船期查询东南亚新马越泰泰国林查班,12967fdf1246798c2eb2520e184e81a9,锦江航运(CVT2),青岛(QINGDAO)[3天] → 上海(SHANGHAI)[4天] → 胡志明卡莱港(HOCHIMINH--CAT LAI),曼谷PAT港(BANGKOK--PAT)[3天] → 林查班(LAEM CHABANG)[7天] → 青岛(QINGDAO),4天
青岛,明日数航船期查询东南亚新马越泰泰国林查班,60e63d2e85fcb131790fb85fb5df2cc4,TSL(CHT) | 兴亚(CHT) | KMTC(CHT) | 长锦(CHT),仁川(INCHON)[2天] → 青岛(QINGDAO)[1天] → 上海(SHANGHAI)[7天] → 林查班(LAEM CHABANG)[1天] → 曼谷PAT港(BANGKOK--PAT),林查班(LAEM CHABANG)[4天] → 深圳蛇口(SHEKOU)[1天] → 香港(HONG KONG)[1天] → 厦门(XIAMEN)[2天] → 仁川(INCHON),2天
青岛,明日数航船期查询东南亚新马越泰泰国林查班,2417660c3bdd3c16bd45bbc7d13f6c3c,KMTC(CT2C) | COSCO(CT2) | CNC(CT2CNC),日照港(RIZHAO)[1天] → 青岛(QINGDAO)[2天] → 上海(SHANGHAI)[3天] → 厦门(XIAMEN),林查班(LAEM CHABANG)[6天] → 广州南沙(NANSHA)[4天] → 日照港(RIZHAO),5天
青岛,明日数航船期查询欧洲黑海土耳其伊斯坦布尔,a21f61dd0604d262b6af323981606ca7,AKKON(FES),,,
青岛,明日数航船期查询北美洲美西美国洛杉矶,9792908f0c87ae2d0308cdbf381ec839,CMA(EX1APL),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[4天] → 釜山新港(BUSAN NEW PORT)[16天] → 洛杉矶(LOS ANGELES)[4天] → 奥克兰(OAKLAND),横滨(YOKOHAMA)[4天] → 那霸(NAHA)[3天] → 釜山新港(BUSAN NEW PORT)[3天] → 青岛(QINGDAO),13天
青岛,明日数航船期查询北美洲美西美国洛杉矶,1d4e7708090c3a5463909e96dd93754f,CMA(HBB) | COSCO(AAC2) | OOCL(PCN3) | EMC(CPS),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[16天] → 洛杉矶(LOS ANGELES),奥克兰(OAKLAND)[17天] → 釜山新港(BUSAN NEW PORT)[3天] → 青岛(QINGDAO),9天
青岛,明日数航船期查询北美洲美西美国洛杉矶,eec9add58bb13072a26270979797516d,MAERSK(TP8) | HPL(WC2),天津(TIANJIN)[5天] → 青岛(QINGDAO)[3天] → 釜山新港(BUSAN NEW PORT)[4天] → 上海(SHANGHAI),洛杉矶(LOS ANGELES)[8天] → 奥克兰(OAKLAND)[20天] → 天津(TIANJIN),16天
青岛,明日数航船期查询北美洲美西美国长滩,e5268065010144e4a39bf7fe1f4c2afe,CMA(BOHAI) | COSCO(CEN) | EMC(CEN) | OOCL(PCN1) | YML(CEN),天津(TIANJIN)[3天] → 青岛(QINGDAO)[5天] → 上海(SHANGHAI),长滩(LONG BEACH)[8天] → 鲁珀特港(PRINCE RUPERT)[19天] → 天津(TIANJIN),14天
青岛,明日数航船期查询北美洲美西美国长滩,2913474771e1ff85b1964c51c089283a,SLS(AWC) | KMTC(APX),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[1天] → 宁波(NINGBO)[3天] → 釜山新港(BUSAN NEW PORT),长滩(LONG BEACH)[19天] → 釜山新港(BUSAN NEW PORT)[3天] → 青岛(QINGDAO),14天
